Book	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
book16		's all you're going		go	c		GOING TO	A		present	yes	no			T
book2		was talking		talk			past	A		past	yes	unclear			T
book166		was disconcerting		disconcert			NOT progressive	A		past	yes	no			T
book101		is the blinding		blind			NOT progressive	A		present	yes	no			T
book89		am, therefore, shipping		ship			present	A		future	no	no			T
book189		was becoming		become			past	A		past	yes	no	gradual change		T
book74		's very useful for practising		practise	c		NOT progressive	A		present	yes	no			T
book208		was sitting		sit up			past	A		past	no	no			T
book6		was suffering		suffer			past	A	q	past	yes	no			T
book229		'm going		go	c		GOING TO	A		present	yes	no			T
book73		are you going		go			GOING TO	A		present	yes	no			T
book98		were heading		head			past	A		past	yes	no			T
book284		was going		go			GOING TO	A		past	yes	no			T
book40		was his fingers doing		fing			NOT progressive	A		past	yes	no			T
book158		is always looking		look for			present	A		present	yes	yes			T
book19		was trying		try			past	A		past	yes	no			T
book74		was leaning		lean back			past	A		past	yes	no			T
book239		were freezing		freeze			NOT progressive	A		past	yes	no			T
book24		Are we going		go			GOING TO	A		present	yes	no			T
book16		is ever giving		give			present	A		unclear	no	no		BFG grammar!	T
book270		was riding		ride			past	A		past	yes	no			T
book226		been watching		watch			perfect	A		past	yes	no			T
book182		was getting		get			past	A		past	yes	no	gradual change		T
book98		was referring		refer to			past	A		past	no	no			T
book79		was there, sweeping		sweep			NOT progressive	A		past	yes	no			T
book12		's coming		come	c		present	A		unclear	unclear	no			T
book251		be coming		come			modal	A		past	unclear	no		narrator's/speaker’s impression	T
book2		be enjoying		enjoy			catenative	A		present	yes	no		narrator's/speaker’s impression	T
book243		was streaming		stream			past	A		past	yes	no			T
book125		was making		make			past	A		past	no	yes			T
book88		are getting		get			present	A		present	yes	no			T
book199		is lying		lie			present	A		present	yes	no			T
book129		be happening		happen	c	n	modal	A		future	no	no			T
book172		was trying		try			past	A		past	yes	no			T
book146		is the purpose of occupying		occupy			NOT progressive	A		present	yes	no			T
book241		was laughing		laugh			past	A		past	yes	no			T
book109		was holding		hold			past	A		past	yes	no			T
book214		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book19		were clapping		clap			past	A		past	yes	yes			T
book87		are you hiding		hide			present	A	q	present	yes	no			T
book295		be hoping		hope	c		modal	A		general	yes	no			T
book175		was rising and bucking		rise			past	A		past	yes	no			T
book104		was going		go			GOING TO	A		past	yes	no			T
book48		was happening		happen			past	A		past	yes	no			T
book133		's doing		do	c		present	A		present	yes	no			T
book298		's eating		eat	c		present	A		present	yes	no			T
book155		were talking		talk about			past	A		past	yes	no			T
book113		was running		run			past	A		past	yes	no			T
book9		were all sitting		sit			past	A		past	yes	no			T
book164		was lying		lie			past	A		past	yes	no			T
book62		were going		go			GOING TO	A		past	yes	no			T
book270		am being		interrogate			present	P		present	yes	no			T
book55		're going		go	c		GOING TO	A		present	yes	no			T
book151		's not ever coming		come back	c	n	present	A		future	no	no			T
book82		was carrying		carry			past	A		past	yes	no			T
book65		was going		go			past	A		past	yes	no			T
book5		was obvious, been trying		try			perfect	A		past	yes	no			T
book76		was already leaping		leap aside			past	A		past	no	no			T
book99		wasn't referring		refer to	c	n	past	A		past	no	no			T
book154		be paying		pay attention			catenative	A		past	yes	no		narrator's/speaker’s impression	T
book50		was no chance of going		go			NOT progressive	A		past	yes	no			T
book158		were waiting		wait			past	A		past	yes	no			T
book47		being laughed at for having		be			NOT progressive	A		present	yes	no			T
book142		was she doing		do			past	A	q	past	yes	no			T
book70		wasn't even trying		try	c	n	past	A		past	yes	no			T
book183		was wearing		wear			past	A		past	yes	no			T
book81		were looking		look			past	A		past	yes	no			T
book212		was ever going		go			GOING TO	A		past	yes	no			T
book128		was going		go			past	A		past	yes	no			T
book142		were trying		try			past	A		past	yes	no			T
book137		was growing		grow			past	A		past	yes	no	gradual change		T
book259		was holding		hold			past	A		past	yes	no			T
book287		was smiling		smile			past	A		past	yes	no			T
book152		're doing		do	c		present	A	q	present	yes	no			T
book190		were having		have			past	A		present	yes	no	reported speech/thought		T
book206		be seriously scrupulous about sterilizing		sterilize			NOT progressive	A		modal/infinitive	yes	no			T
book192		's Sara doing		do	c		present	A	q	present	yes	no			T
book178		been caught wandering		wander about			perfect	A		past	yes	no			T
book136		was acting		act			past	A		past	yes	unclear			T
book61		was having		have			past	A		past	yes	no			T
book252		been getting		get			perfect	A		past/present	yes	no	gradual change		T
book32		Aren't you going		go	c	n	GOING TO	A		present	yes	no			T
book147		was touching		touch			past	A		past	yes	unclear			T
book228		'm kidding		kid	c		present	A	q	present	yes	no			T
book30		be waiting		wait			modal	A		past	yes	yes			T
book130		're trying		try	c		present	A		present	yes	no			T
book102		were making		make			past	A		past	yes	no	framing		T
book67		's snowing		snow	c		present	A		present	yes	no			T
book12		was looking		look at			past	A		past	yes	no			T
book80		be sent tumbling		tumble			NOT progressive	A		modal/infinitive	yes	no			T
book271		were having		have			past	A		past	yes	no	framing		T
book291		been living		live			perfect	A		past/present	yes	no			T
book246		were talking		talk about			past	A		past	yes	no			T
book54		were going		go			GOING TO	A		past	yes	no			T
book261		were you doing		do			past	A	q	past	yes	no			T
book221		was going		go			GOING TO	A		past	yes	no			T
book67		are going		go			GOING TO	A		present	yes	no			T
book180		'm traveling		travel	c		present	A		future	yes	no	emphasis/shock		T
book263		was shining		shine			past	A		past	yes	no			T
book261		was no child hiding		hide			NOT progressive	A		past	yes	no			T
book156		was regarding		regard			past	A		past	yes	no			T
book24		were feeding		feed			past	A		past	no	yes			T
book149		were forming		form up			past	A		past	yes	no			T
book119		was on speaking		speak			NOT progressive	A		past	yes	no			T
book247		was now setting		set			past	A		past	yes	no	gradual change		T
book298		wasn't being		be	c	n	past	A		past	yes	no			T
book19		were about to start flying		fly			NOT progressive	A		past	yes	no			T
book254		were wrecking		wreck			past	A		past	yes	no			T
book22		been gardening		garden			perfect	A		past	yes	unclear			T
book183		were going		go			GOING TO	A		past	yes	no			T
book19		be ordering		order			modal	A		future	no	no			T
book136		're glowing		glow	c		present	A		present	yes	no			T
book218		's a pole laying		lay	c		NOT progressive	A		present	yes	no			T
book127		were still piling		pile up			past	A		past	yes	no			T
book116		was now looking		look for			past	A		past	yes	no			T
book5		was sweating		sweat			past	A		past	yes	no			T
book142		was still doing		do			past	A		past	yes	no			T
book16		is waking		wake up			present	A		future	no	no			T
book110		been wearing		wear	c	n	perfect	A		past	yes	no			T
book158		're moving		move	c		present	A		future	no	no			T
book90		're talking		talk	c		present	A		present	yes	unclear			T
book178		was telling		tell			past	A		past	yes	no			T
book163		're talking		talk about	c		present	A		present	yes	no			T
book54		been surreptitiously trying		try			perfect	A		past	yes	no			T
book265		was lost in a horrifying		horrify			NOT progressive	A		past	yes	no			T
book267		was like standing		stand			NOT progressive	A		past	yes	no			T
book133		are you still doing		do			present	A	q	present	yes	no			T
book139		are tessellating		tessellate			present	A		present	yes	no			T
book19		was shouting		shout			past	A		past	no	no			T
book208		Are you fixing		fix up			present	A	q	present	no	no		present or future ref.?	T
book116		be living		live			NOT progressive	A		modal/infinitive	yes	no			T
book92		're planning		plan	c		present	A		present	yes	no			T
book70		's laughing		laugh	c		present	A	q	present	yes	no			T
book149		was beginning		begin			past	A		past	yes	no	gradual change		T
book90		was darkening		darken			past	A		past	yes	no	gradual change		T
book151		'm being		be	c		present	A		present	yes	no			T
book195		was being		be			past	A		past	yes	no			T
book282		was like chewing		chew			NOT progressive	A		past	yes	no			T
book22		weren't learning		learn	c	n	past	A		present	yes	yes			T
book135		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book116		be waiting		wait	c		modal	A		future	yes	no			T
book121		's coming, walking		come	c		present	A		present	yes	no			T
book1		was liking		like			past	A		past	yes	no	emphasis/shock		T
book91		weren't going		go	c	n	GOING TO	A		past	yes	no			T
book262		was back, carrying		carry			NOT progressive	A		past	yes	no			T
book226		were being		follow			past	P		present	yes	no	reported speech/thought		T
book88		were watching		watch			past	A		past	yes	no			T
book151		be staring		stare at			catenative	A		past	yes	no		narrator's/speaker’s impression	T
book291		'm not blaming		blame	c	n	present	A		present	yes	no			T
book106		was on the floor playing		play			NOT progressive	A		past	yes	no			T
book75		was going		go			GOING TO	A		past	yes	no			T
book113		were changing		change			past	A		past	yes	no	gradual change		T
book24		be sitting		sit			modal	A		unclear	yes	no			T
book192		are running		run			present	A		present	yes	no			T
book82		was wearing		wear			past	A		past	yes	no			T
book27		were being		crush			past	P		past	no	no			T
book97		'm placing		place	c		present	A		present	no	no			T
book197		are painting		paint			present	A	q	present	yes	unclear			T
book101		was preparing		prepare			past	A		general	yes	no			T
book132		wasn't flicking		flick through	c	n	past	A		past	yes	no			T
book239		was doing		do			past	A		past	yes	no			T
book93		's really happening		happen	c		present	A		present	yes	no			T
book269		're joking		joke	c		present	A		present	yes	no			T
book295		was anything coming		anything			NOT progressive	A		past	yes	no			T
book141		's like seeing		see	c		NOT progressive	A		present	yes	no			T
book231		was not feeling		feel		n	past	A		past	yes	no			T
book191		be looking		look for			modal	A	q	hypothetical	yes	no			T
book207		were flashing		flash			past	A		past	no	no			T
book62		was staring		stare			past	A		past	yes	no			T
book262		is doing		do			present	A	q	present	yes	unclear			T
book198		is chaining		chain up			present	A		present	no	no			T
book89		be waiting		wait			modal	A		general	yes	no			T
book283		's a sliding		slide	c		NOT progressive	A		present	yes	no			T
book142		was going		go on			past	A		past	yes	no			T
book214		was going		go			GOING TO	A		past	yes	no			T
book141		'm reminding		remind	c		present	A		present	no	yes			T
book143		's get going		go	c		NOT progressive	A		present	yes	no			T
book278		was going		go			GOING TO	A		past	yes	no			T
book210		was growling		growl			past	A		past	yes	no			T
book226		was beginning		begin			past	A		past	yes	no	gradual change		T
book74		was surely crying		cry out			past	A		past	no	unclear			T
book37		was milking		milk			past	A		past	yes	no			T
book153		was sleeping		sleep			past	A		past	yes	no			T
book175		was rushing		rush			past	A		past	yes	no			T
book17		were hunting		hunt			past	A		past	yes	no			T
book197		was saying		say			past	A		past	yes	no			T
book45		'm going		go	c		GOING TO	A		present	yes	no			T
book113		be sitting		sit	c	n	modal	A		hypothetical	yes	no			T
book28		was no mistaking		mistake			NOT progressive	A		past	yes	no			T
book166		was no escaping		escape			NOT progressive	A		past	yes	no			T
book252		were watching		watch			past	A		past	yes	no			T
book152		were having		have			past	A		past	yes	no	framing		T
book48		'm going		go	c		GOING TO	A		present	yes	no			T
book123		was crying		cry			past	A		past	yes	no			T
book146		was doing		do			past	A		past	yes	no			T
book210		was thinking		think about			past	A		past	yes	no			T
book9		's always talking		talk about	c		present	A		present	yes	yes			T
book197		was dozing		doze off			past	A		past	yes	no			T
book171		're all smiling		smile	c		present	A		present	yes	no			T
book71		was advancing		advance			past	A		past	yes	no	gradual change		T
book298		Is Coming		come			present	A		future	no	no			T
book33		was a rattling		rattle			NOT progressive	A		past	yes	no			T
book95		's doing		do	c		present	A		general	no	no			T
book184		was drenching		drench			past	A		past	yes	no	framing		T
book236		's going		go	c		GOING TO	A		present	yes	no			T
book106		is that slurping		slurp			NOT progressive	A		present	yes	no			T
book183		were staring		stare at			past	A		past	yes	no			T
book192		was going		go			GOING TO	A		past	yes	no			T
book5		were shining		shine			past	A		past	yes	no			T
book168		were being		prepare			past	P		past	yes	no			T
book172		was punching		punch			past	A		past	no	no			T
book210		was not listening		listen		n	past	A		past	yes	no		reported thought?	T
book231		be going		go	c		modal	A		present	no	no			T
book265		weren't going		go	c	n	GOING TO	A		past	yes	no			T
book37		was racing		race			past	A		past	yes	no			T
book216		be a low shadow smudging		smudge			NOT progressive	A		modal/infinitive	yes	no			T
book95		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book49		was bearing		bear down on			past	A		past	yes	no			T
book248		were beginning		begin			past	A		past	yes	no	gradual change		T
book262		was swarming		swarm			past	A		past	yes	no			T
book188		was finding		find			NOT progressive	A		past	yes	no			T
book136		'm seeing and feeling		see	c		present	A		general	yes	yes			T
book114		was trying		try			past	A		past	yes	no			T
book298		was imitating		imitate			past	A		past	yes	no			T
book109		was trying		try			past	A		past	yes	no	reported speech/thought		T
book137		are you saying		say			present	A	q	present	no	unclear			T
book167		's trying		try	c		present	A		present	yes	no			T
book221		were running, feet clattering		run			past	A		past	yes	no			T
book216		were writing		write out			past	A		hypothetical	no	no			T
book206		were just winding		wind up			past	A		past	yes	no			T
book182		been reaching		reach			perfect	A		past	no	no			T
book12		was not addressing		address		n	past	A		past	no	no			T
book219		are wearing		wear			present	A		present	yes	no			T
book1		be standing		stand			NOT progressive	A		past	yes	no			T
book39		was standing		stand			past	A		past	yes	no	framing		T
book34		was standing		stand up			past	A		past	no	no			T
book211		're going		go	c		GOING TO	A		present	yes	no			T
book51		Aren't you feeling		feel	c	n	present	A	q	present	yes	no			T
book48		was pretty good going		go			NOT progressive	A		past	yes	no			T
book206		's crying		cry	c		present	A		present	yes	no			T
book199		were not interested in reading		read		n	NOT progressive	A		past	yes	no			T
book40		were throwing		throw			past	A		past	no	yes			T
book175		were moving		move			past	A		past	yes	no		narrator's/speaker’s impression	T
book188		's only making		make	c		present	A		present	yes	no			T
book56		'm quitting		quit	c		present	A		present	no	no			T
book18		is still laughing, wiping		laugh			present	A		present	yes	no			T
book122		'm going		go	c		GOING TO	A		present	yes	no			T
book217		was trying		try			past	A		past	yes	no			T
book269		was being		organize			past	P		past	yes	no			T
book185		was dedicated to keeping		keep			NOT progressive	A		past	yes	no			T
book269		be sparkling and twinkling		sparkle			catenative	A		past	yes	yes		narrator's/speaker’s impression	T
book204		Are you planning on going		plan			present	A	q	present	yes	no			T
book227		were feeling		feel			past	A		past	yes	no			T
book191		were following		follow			past	A		past	yes	yes			T
book144		be eating		eat			GOING TO	A	q	future	yes	no			T
book58		's singing		sing	c		present	A		present	yes	no			T
book142		were talking		talk			past	A		past	yes	no			T
book164		was going		go			GOING TO	A		past	yes	no			T
book215		was snorting		snort			past	A		past	no	no			T
book235		was the only surviving		survive			NOT progressive	A		past	yes	no			T
book9		was working		work on			past	A		past	yes	no			T
book266		were being		tear			past	P		hypothetical	no	no			T
book131		is spinning		spin			present	A		present	yes	no			T
book125		was about to start removing		remove			NOT progressive	A		past	yes	no			T
book28		are changing		change			present	A		general	yes	no	gradual change		T
book134		were making		make			past	A		past	no	no			T
book54		is grinning and holding		grin			present	A		present	yes	no			T
book192		is considering		consider			present	A		present	yes	no			T
book197		's an atom of meaning		mean	c		NOT progressive	A		present	yes	no			T
book294		'm not going		go	c	n	GOING TO	A		present	yes	no			T
book246		was going		go			past	A		past	yes	no			T
book198		be swimming		swim out			modal	A		present	yes	no			T
book103		were tingling		tingle			past	A		past	yes	no			T
book243		was aching		ache			past	A		past	yes	no			T
book231		was beginning		begin			past	A		past	yes	no	gradual change		T
book226		were also taking		take in			past	A		past	no	no			T
book60		be sitting		sit			modal	A	q	general	yes	no			T
book14		been working		work			perfect	A		past/present	yes	no			T
book192		's coming		come down	c		present	A		present	yes	no			T
book140		're going		go	c		GOING TO	A		present	yes	no			T
book2		was, kneeling		kneel			NOT progressive	A		past	yes	no			T
book137		was a serious blaze going		go			NOT progressive	A		past	yes	no			T
book293		been smiling		smile	c	n	perfect	A		hypothetical	yes	no			T
book270		be rising		rise			catenative	A		past	yes	no		narrator's/speaker’s impression	T
book262		was trying		try			past	A		past	yes	no			T
book98		was sitting		sit			past	A		past	yes	no			T
book208		're already doing		do	c		present	A	q	present	yes	no			T
book243		was being		beat up			past	P		past	yes	no	framing		T
book131		is still looking		look at			present	A		present	yes	no			T
book98		were lying		lie			past	A		past	yes	no			T
book15		were going		go			GOING TO	A		past	yes	no			T
book215		were trembling		tremble			past	A		past	yes	no			T
book83		was waiting		wait			past	A		past	yes	no			T
book60		're going		go	c		GOING TO	A		present	yes	no			T
book219		are wearing shining		wear			present	A		present	yes	no			T
book117		was her using		use			NOT progressive	A		past	yes	no			T
book109		was still issuing		issue			past	A		past	no	yes			T
book216		are following		follow			present	A		present	yes	no			T
book120		weren't going		go	c	n	GOING TO	A		past	yes	no			T
book58		been looking		look for			perfect	A		past	yes	no			T
book240		was coming		come			past	A		past	yes	no			T
book203		was now leaping		leap			past	A		past	no	yes			T
book84		're making		make	c		present	A		present	yes	no			T
book119		been laying		lay	c		perfect	A	q	past/present	no	no			T
book90		are going		go			GOING TO	A		present	yes	no			T
book175		was a gaping		gape			NOT progressive	A		past	yes	no			T
book151		was licking		lick			past	A		past	yes	no			T
book51		was lying		lie			past	A		past	yes	no			T
book44		was just pointing		point			past	A		past	yes	no			T
book145		was doing		do			past	A		past	yes	no			T
book176		was almost touching		touch			past	A		past	yes	no			T
book127		'm doing is standing		do	c		present	A		present	yes	unclear			T
book192		are you going		go			GOING TO	A		present	yes	no			T
book145		's some more rain coming		come	c		NOT progressive	A		present	yes	no			T
book130		was turning		turn			past	A		general	yes	yes	gradual change		T
book277		were saying		say			past	A		past	no	yes			T
book189		's passing		pass	c		NOT progressive	A		present	yes	no			T
book52		are drooling and growling		drool			present	A		present	yes	no			T
book223		was out, weeding		weed			NOT progressive	A		past	yes	no			T
book42		be floating		float			catenative	A		modal/infinitive	yes	no			T
book101		been working		work at			perfect	A		past	yes	yes			T
book244		were already showing		show			past	A		past	yes	no			T
book128		was feathery, swaying		sway			NOT progressive	A		past	yes	no			T
book140		'm pleased you'll going		go	c		present	A		future	yes	no		typo? (pleased you’ll BE going with him?)	T
book120		was watching		watch			past	A		past	yes	no			T
book292		are coming		come			present	A		future	no	no			T
book92		was crouching		crouch			past	A		past	yes	no			T
book46		were always stress charts being		be			NOT progressive	A		past	yes	no			T
book85		was doing		do			past	A	q	past	yes	no			T
book34		were coming		come			past	A		future	no	no			T
book97		was just wondering		wonder			past	A		past/present	yes	no	politeness/softening		T
book108		is explaining		explain			present	A		present	yes	unclear			T
book27		was sitting		sit			past	A		past	yes	no			T
book73		was still lying		lie			past	A		past	yes	no			T
book299		was only trying		try			past	A		past	yes	no			T
book247		was shining		shine			past	A		past	yes	no			T
book233		was racing		race			past	A		past	yes	no			T
book280		are lifted by thinking		think			NOT progressive	A		present	yes	no			T
book265		was poised for running		run			NOT progressive	A		past	yes	no			T
book75		were lying		lie			past	A		past	yes	no			T
book209		were flying		fly			past	A		past	yes	no			T
book123		was a bit daunting		daunt			NOT progressive	A		past	yes	no			T
book52		was doing		do			past	A		past	yes	no	framing		T
book90		is not happening		happen		n	present	A		future	yes	no	emphasis/shock		T
book204		were selling		sell			past	A		general	no	yes			T
book166		was doing		do			past	A		present	yes	no	reported speech/thought		T
book153		were dropping		drop			past	A		past	no	yes			T
book38		are capable of taking		take			NOT progressive	A		present	yes	no			T
book277		was overflowing		overflow			past	A		past	yes	no			T
book170		are going		go			GOING TO	A		present	yes	no			T
book284		is crying		cry			present	A	q	present	yes	no			T
book152		is coming		come			present	A		present	yes	no			T
book120		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book291		is passing		pass			present	A	q	present	yes	no			T
book214		were being		deliver			past	P		future	no	no	reported speech/thought		T
book295		was teetering		teeter			past	A		past	yes	no			T
book119		was giving		give			past	A		hypothetical	yes	no			T
book198		are you crying		cry			present	A	q	present	yes	no			T
book269		're having		have	c		present	A	q	present	yes	no			T
book12		was hurrying		hurry			past	A		unclear	yes	no			T
book239		'm thinking		think of	c		present	A		present	yes	no			T
book109		be checking		check			modal	A	q	general	no	no			T
book234		been reappearing		reappear			perfect	A		past/present	no	yes			T
book284		are both going		go			GOING TO	A		present	yes	no			T
book114		been studying		study			perfect	A		past	yes	no			T
book79		was suddenly feeling		feel			past	A		past	yes	no			T
book244		was flying		fly			past	A		past	yes	no			T
book106		Aren't we carrying		carry	c	n	present	A	q	present	yes	no			T
book1		is thinking		think of			present	A		present	yes	no			T
book123		was putting		put at ease			past	A		hypothetical	no	no			T
book277		was arranging		arrange			past	A		past	yes	no			T
book223		was doing		do			past	A		past	yes	no	framing		T
book221		're joking		joke	c		present	A		present	yes	no	emphasis/shock		T
book2		was blowing		blow up			past	A		past	no	unclear			T
book125		're hoping		hope	c		present	A		present	yes	no			T
book133		'm going		go	c		GOING TO	A		present	yes	no			T
book140		's going		go	c		GOING TO	A		present	yes	no			T
book283		was joking		joke			past	A		past	yes	no			T
book104		are you trying		try			present	A	q	present	yes	no			T
book255		was not freezing		freeze		n	NOT progressive	A		past	yes	no			T
book25		wasn't just writing		write	c	n	NOT progressive	A		past	yes	no			T
book238		is running		run short			present	A		present	yes	no	gradual change		T
book120		were going		go			GOING TO	A		past	yes	no			T
book172		were going		go through			past	A		past	yes	no			T
book33		was still trembling		tremble			past	A		past	yes	no			T
book123		was going		go			GOING TO	A		past	yes	no			T
book119		were trying		try			past	A		hypothetical	yes	no			T
book27		was going		go			GOING TO	A		past	yes	no			T
book23		'm going		go	c		present	A		future	no	no			T
book252		was Saruman himself, looking		look			NOT progressive	A		past	yes	no			T
book237		were starting		start			past	A		past	no	no			T
book132		been doing		do			perfect	A	q	perfect	yes	no			T
book248		were bending		bend over			past	A		past	yes	no			T
book182		are running		run high			present	A		present	yes	no			T
book100		was buzzing		buzz			past	A		past	yes	no			T
book156		was reading		read			past	A		past	yes	yes			T
book168		were rushing		rush			past	A		past	yes	no			T
book293		was coming		come			past	A		past	yes	no	framing		T
book67		was getting		get			past	A		past	yes	no	framing		T
book295		is it going		go			present	A	q	unclear	unclear	no			T
book44		were also engaging		engage in			past	A		past	yes	unclear			T
book168		are we doing		do			present	A	q	present	yes	no			T
book167		is moving		move			present	A		present	yes	no			T
book16		is seeing		see			present	A		hypothetical	yes	no			T
book250		is going		go			GOING TO	A		present	yes	no			T
book282		was flying		fly			past	A		past	yes	no			T
book79		was oozing		ooze			past	A		past	yes	no			T
book182		is she doing		do			present	A	q	present	yes	no			T
book31		be looking		look for	c	n	catenative	A		past	yes	no		narrator's/speaker’s impression	T
book130		're running		run low	c		present	A		present	yes	no			T
book76		be carrying		carry	c		modal	A		unclear	yes	no			T
book237		was when Lucy came rushing		rush			NOT progressive	A		past	yes	no			T
book37		are seeing		see			present	A		present	yes	no			T
book116		's doing		do	c		present	A		present	yes	no			T
book98		were drifting		drift			past	A		past	yes	no			T
book62		was going		go wrong			past	A		past	no	no			T
book240		was busy buttoning		button			NOT progressive	A		past	yes	no			T
book152		's sobbing		sob	c		present	A		present	yes	no			T
book80		was called a grappling		grapple			NOT progressive	A		past	yes	no			T
book203		is going		go			GOING TO	A		present	yes	no			T
book25		is Stacey we're talking		talk about	c		present	A		present	yes	no			T
book16		be coming		come out			modal	A		general	no	no			T
book61		is getting		get			present	A		present	yes	no	gradual change		T
book252		are going		go			present	A		present	no	no			T
book259		was holding		hold			past	A		past	yes	no			T
book159		Are you saying		say			present	A	q	present	yes	no			T
book172		was getting		get			past	A		past	yes	no	gradual change		T
book85		was reading		read			past	A		past	yes	no	framing		T
book158		is looking		look forward			present	A		present	yes	no			T
book207		are getting		get into			present	A		present	no	yes			T
book216		're going		go	c		GOING TO	A		present	yes	no			T
book263		were playing		play			past	A		hypothetical	yes	no			T
book195		're kidding		kid	c		present	A		present	yes	no	emphasis/shock		T
book163		was enjoying		enjoy			past	A		past	yes	no			T
book100		was fighting down a rising		fight down			past	A		past	yes	no			T
book4		be letting		let			catenative	A		general	no	yes			T
book242		was a despairing		despair			NOT progressive	A		past	yes	no			T
book237		is going		go			GOING TO	A		present	yes	no			T
book154		be feeling		feel			modal	A		past	yes	no			T
book192		is facing		face up			present	A		present	yes	no			T
book10		was meanwhile standing		stand			past	A		past	yes	no			T
book91		was beating		beat			past	A		past	yes	no			T
book132		's planning		plan	c		present	A	q	present	yes	no			T
book122		was gripping		grip			past	A		past	yes	no			T
book172		'm just thinking		think	c		present	A		present	yes	no			T
book258		be firing		fire			NOT progressive	A		past	no	unclear			T
book89		's going		go	c		GOING TO	A		present	yes	no			T
book93		been limping		limp	c		perfect	A		past	yes	no			T
book164		was the person being		be			NOT progressive	A		past	yes	no			T
book98		's going to be teaching		go	c		GOING TO	A		modal/infinitive	yes	no			T
book147		were standing		stand back			past	A		past	no	no			T
book255		was still arguing		argue			past	A		past	yes	no		reported thought?	T
book157		was feeling		feel			past	A		past	yes	no			T
book178		are always popping		pop up			present	A		present	no	yes			T
book196		was not going		go		n	GOING TO	A		past	yes	no			T
book184		are you talking		talk about			present	A	q	present	yes	no			T
book107		are carefully pulling		pull			present	A		present	no	no			T
book58		was now going		go			GOING TO	A		past	yes	no			T
book31		be addressing		address			catenative	A		present	no	no			T
book266		am listening		listen			present	A		present	yes	no			T
book284		were losing		lose			past	A		past	yes	no			T
book237		was standing		stand			past	A		past	yes	no			T
book107		are discussing		discuss			present	A		present	yes	no			T
book258		is going		go			GOING TO	A		present	yes	no			T
book231		's wandering		wander about	c		present	A		present	yes	no			T
book5		was saying		say			past	A		present	no	no	reported speech/thought		T
book219		're just according		accord	c		present	A		present	yes	no			T
book192		'm checking		check	c		present	A		future	no	no			T
book102		was making		make			past	A		past	no	yes			T
book175		was living		live up			past	A		past	yes	no			T
book186		was finally going		go			GOING TO	A		past	yes	no			T
book210		was terrible–standing		stand			NOT progressive	A		past	yes	no			T
book90		's rats running		run	c		NOT progressive	A		present	yes	no			T
book293		been doing		do			perfect	A		past	yes	no		narrator's/speaker’s impression	T
book88		were heading		head			past	A		present	yes	no	reported speech/thought		T
book295		was wearing		wear			past	A		past	yes	no			T
book229		be let out of spelling		spell			NOT progressive	A		modal/infinitive	yes	no			T
book55		was whispering		whisper			past	A		past	yes	no			T
book56		were going		go			past	A		past	yes	no			T
book121		was going		go			GOING TO	A		past	yes	no			T
book39		was, She's fooling		fool	c		past	A		past	yes	no			T
book125		was doing		do			past	A		past	yes	no			T
book165		's very good at doing		do	c		NOT progressive	A		present	yes	no			T
book260		was resting		rest			past	A		past	yes	no			T
book237		was not running		run		n	past	A		past	yes	no			T
book128		was no time for being		be			NOT progressive	A		past	yes	no			T
book143		are feeling		feel			present	A		present	yes	no			T
book277		was going		go			GOING TO	A		past	yes	no			T
book64		aren't they fighting		fight	c	n	present	A	q	present	yes	no			T
book164		're going		go	c		present	A	q	present	yes	no			T
book143		been hunting		hunt			perfect	A		past/present	yes	yes			T
book203		am beginning		begin			present	A		present	yes	no	gradual change		T
book72		were stuck looking		look			NOT progressive	A		past	yes	no			T
book110		were through being		be			NOT progressive	A		past	yes	no			T
book216		is watching		watch			present	A		present	yes	no			T
book183		was running		run out			past	A		past	yes	no			T
book185		was, gazing		gaze			NOT progressive	A		past	yes	no			T
book148		was calling		call			past	A		past	no	yes			T
book38		's going		go	c		GOING TO	A		present	yes	no			T
book64		be sniggering		snigger			catenative	A		past	yes	yes		narrator's/speaker’s impression	T
book93		're going		go	c		GOING TO	A		present	yes	no			T
book122		been giving		give			perfect	A		past	no	no			T
book67		was having		have			past	A		past	yes	no			T
book291		're also lacking		lack	c		present	A		present	yes	no			T
book84		was going		go			GOING TO	A		past	yes	no			T
book11		was bad for watching		watch			NOT progressive	A		past	yes	no			T
book40		're not going		go	c	n	GOING TO	A		present	yes	no			T
book137		was drifting		drift			past	A		past	yes	no			T
book137		're leaving		leave	c		present	A	q	future	no	no			T
book294		was a darkening		darken			NOT progressive	A		past	yes	no			T
book84		am trying		try			present	A	q	present	yes	no			T
book220		was ironing		iron			past	A		past	yes	no			T
book264		were staring		stare			past	A		past	yes	no			T
book109		're calling		call	c		present	A		general	no	yes			T
book189		's still working		work on	c		present	A		present	yes	yes			T
book240		was moving and after going		move			past	A		past	no	no			T
book126		'm counting		count on	c		present	A		present	yes	no			T
book154		were staying		stay			past	A		past	yes	no			T
book289		was getting		get			past	A		past	yes	no	gradual change		T
book153		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
